session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6270a2f516f2187cc2002677,5fbb12ec6d85a0bcb899fd9b,AWAITING REVIEW,2022-05-03 03:35:29.478000,2022-05-03 03:48:31.698000,782.22,27,12,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6270a3a70ee17f210102db46,5e53f169e6ef3b3f14d0c0f9,AWAITING REVIEW,2022-05-03 03:38:19.813000,2022-05-03 03:51:33.996000,794.183,30,427,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6270a4480ee17f210102db48,5e9679a26b86610fdf2c766a,AWAITING REVIEW,2022-05-03 03:40:58.617000,2022-05-03 03:49:18.669000,500.052,34,1196,1,100,,7FEF15D8,Korea,United States,Part-Time,English,United States,Female,No
6270a54676ceeb580c6dc64a,62029b75ef1cb18a1337c83f,TIMED-OUT,2022-05-03 03:45:12.973000,,7108.786291,21,0,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
6270a5f5c20649967e881484,5deb341d35575a2547b1f85a,AWAITING REVIEW,2022-05-03 03:48:09.292000,2022-05-03 03:58:58.701000,649.409,37,945,0,100,,7FEF15D8,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
6270a619ed23e41f2dd569b1,60d9505c613c3e704499f040,AWAITING REVIEW,2022-05-03 03:48:46.016000,2022-05-03 04:00:52.759000,726.743,52,324,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED
6270a643f6ab1d726a000d35,5d1a4bd6339da6000112af6e,AWAITING REVIEW,2022-05-03 03:49:26.852000,2022-05-03 03:59:55.977000,629.125,20,204,0,100,,7FEF15D8,United States,United States,Other,Spanish,United States,Female,Yes
6270a7af1e14fe99a5a8b657,58cc9fb87f7f9f0001c2d88b,AWAITING REVIEW,2022-05-03 03:55:36.366000,2022-05-03 04:04:54.384000,558.018,24,121,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,No
6270a7b946f0b05e172b86df,5c054e8a553fb800011917d7,AWAITING REVIEW,2022-05-03 03:59:21.979000,2022-05-03 04:11:15,713.021,22,2027,0,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
6270a81ca5cccaeea4275949,5ed92a47585c150e2dc44740,AWAITING REVIEW,2022-05-03 03:57:16.861000,2022-05-03 04:05:07.834000,470.973,25,341,5,98,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6270a82951bc6653dea97e7e,612c6e9eeff2e206dd8855f8,AWAITING REVIEW,2022-05-03 03:57:32.143000,2022-05-03 04:09:15.885000,703.742,27,32,1,98,,7FEF15D8,DATA EXPIRED,United States,Full-Time,DATA EXPIRED,United States,Female,DATA EXPIRED
6270a8c5973721c5cbed57bf,5e61acf4e360560ac112e199,AWAITING REVIEW,2022-05-03 04:00:15.901000,2022-05-03 04:16:05.533000,949.632,36,13,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,No
6270a92a5991e419f7c833a7,6062902e483d246ae9b25071,AWAITING REVIEW,2022-05-03 04:01:50.756000,2022-05-03 04:22:54.265000,1263.509,53,368,1,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6270a9a91c789d39ca3e5f7c,60fcf66456e7c6595c4e2f6b,AWAITING REVIEW,2022-05-03 04:03:55.433000,2022-05-03 04:15:42.479000,707.046,21,433,2,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),English,United States,Female,No
6270a9b5551e32dec1e9d8a0,5a0d1f2cfe645f0001e9f7ca,AWAITING REVIEW,2022-05-03 04:04:09.063000,2022-05-03 04:14:21.249000,612.186,32,482,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
6270a9ea7e2269ac2b11c005,610a30c423f6b78e51130e38,AWAITING REVIEW,2022-05-03 04:05:02.665000,2022-05-03 04:18:57.096000,834.431,24,21,0,100,,7FEF15D8,United States,United States,Unemployed (and job seeking),Spanish,United States,Female,Yes
6270aad588141401b2cc95d2,5aecad0e75deca000162634c,AWAITING REVIEW,2022-05-03 04:08:58.743000,2022-05-03 04:26:21.373000,1042.63,,1719,5,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6270ab1e4338585c3d4f9e12,610083e237911150228b94d1,AWAITING REVIEW,2022-05-03 04:10:08.860000,2022-05-03 04:19:53.142000,584.282,20,135,1,100,,7FEF15D8,United States,United States,Part-Time,English,United States,Female,Yes
6270ab2b2efea4a4948f309f,5d63275f9b22da000117b107,RETURNED,2022-05-03 04:10:21.980000,,5599.995434,69,1790,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6270ab5e1155052619b77392,61fa924a5719bc09cb8349f2,RETURNED,2022-05-03 04:11:16.132000,,5545.85675,23,71,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6270ab83ce0a30630b927673,60c2440a4075e03b6cd3019d,AWAITING REVIEW,2022-05-03 04:11:51.530000,2022-05-03 04:25:20.551000,809.021,27,133,0,100,,7FEF15D8,United States,United States,Full-Time,English,United States,Female,Yes
6270ac355b58bfb5a2d125ac,5f86c71cc9ccdd0159e0668d,AWAITING REVIEW,2022-05-03 04:14:48.273000,2022-05-03 04:31:26.918000,998.645,40,586,0,100,,7FEF15D8,United States,United States,Full-Time,English,United States,Female,Yes
6270acbb57b2551b5265b9c0,615e6cae671feecceaafc638,AWAITING REVIEW,2022-05-03 04:17:02.328000,2022-05-03 04:26:48.172000,585.844,24,167,1,100,,7FEF15D8,Germany,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6270ad0d6b32d31f37602db1,614beda2ac4673a322e2b132,AWAITING REVIEW,2022-05-03 04:18:25.782000,2022-05-03 04:32:58.392000,872.61,23,165,0,100,,7FEF15D8,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6270adb33c1b6c23a0d1f7ff,60fe1f34209e7ba382c1cfe2,AWAITING REVIEW,2022-05-03 04:21:11.029000,2022-05-03 04:33:43.810000,752.781,22,166,0,100,,7FEF15D8,Philippines,United States,Full-Time,Tagalog-Filipino,United States,Female,Yes
6270addb2b5699c52ba12e9d,608e875414e027cb3b277df1,AWAITING REVIEW,2022-05-03 04:21:49.529000,2022-05-03 05:01:35.233000,2385.704,26,547,0,100,,7FEF15D8,United States,United States,Part-Time,English,United States,Female,No
